kode_penyakit,kode_gejala,cf_pakar,cf_optimasi
P01,G01,0.00,0.0000000000000
P01,G02,0.80,0.8000000000000
P01,G03,0.00,0.0000000000000
P01,G04,0.00,0.0000000000000
P01,G05,0.00,0.0000000000000
P01,G06,0.00,0.0000000000000
P01,G07,0.00,0.0000000000000
P01,G08,0.00,0.0000000000000
P01,G09,1.00,0.0000000000000
P01,G10,1.00,1.0000000000000
P01,G11,0.80,0.8000000000000
P01,G12,0.80,1.0000000000000
P01,G13,0.00,0.0000000000000
P01,G14,0.00,0.0000000000000
P01,G15,0.00,0.0000000000000
P01,G16,0.00,0.0000000000000
P01,G17,0.00,1.0000000000000
P01,G18,0.00,0.0000000000000
P01,G19,0.00,0.0000000000000
P01,G20,0.00,0.0000000000000
P01,G21,0.00,0.0000000000000
P01,G22,0.00,0.0000000000000
P01,G23,0.00,0.0000000000000
P01,G24,0.00,0.0000000000000
P01,G25,0.00,0.0000000000000
P01,G26,0.00,0.0000000000000
P01,G27,0.00,0.0000000000000
P01,G28,0.00,0.0000000000000
P01,G29,0.00,0.0000000000000
P01,G30,0.00,0.0000000000000
P01,G31,0.00,0.0000000000000
P02,G01,0.00,1.0000000000000
P02,G02,0.80,1.0000000000000
P02,G03,0.00,0.0000000000000
P02,G04,0.00,0.0000000000000
P02,G05,0.00,0.0000000000000
P02,G06,0.00,1.0000000000000
P02,G07,0.00,0.0000000000000
P02,G08,0.00,0.0000000000000
P02,G09,0.00,0.0000000000000
P02,G10,0.60,1.0000000000000
P02,G11,1.00,0.0000000000000
P02,G12,0.80,1.0000000000000
P02,G13,1.00,1.0000000000000
P02,G14,0.00,0.0000000000000
P02,G15,0.00,1.0000000000000
P02,G16,0.00,0.0000000000000
P02,G17,0.00,1.0000000000000
P02,G18,0.00,0.0000000000000
P02,G19,0.00,0.0000000000000
P02,G20,0.00,1.0000000000000
P02,G21,0.00,0.0000000000000
P02,G22,0.00,0.0000000000000
P02,G23,0.00,0.0000000000000
